link,timestamp,precio,precio_m2,base_m2,gastos_comunes,dormitorios,banos,superficie_util,superficie_total,superficie_terraza,piso,orientacion,servicio,escritorio,titulo,lat,lon
https://portalinmobiliario.com/MLC-2076422187-departamento-en-venta-para-remodelar-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=5&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,2026-08-02T21:38:10.391750,366377782,2713909,útil,255000,4,3,135 m²,150 m²,,7,,Sí,,Departamento En Venta Para Remodelar,-33.4227088,-70.5996616
https://portalinmobiliario.com/MLC-4219663656-3d2b-sala-estar-luminoso-vista-las-lilas-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=7&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,2026-08-02T21:38:17.825779,359434167,3238146,útil,230000,4,2,111 m²,116 m²,,,,,,"3d2b + Sala Estar - Luminoso, Vista - Las Lilas",-33.4285444,-70.601798
https://portalinmobiliario.com/MLC-3854712330-la-minga-amplio-depto-3d3b-gran-terraza-roberto-del-rio-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=1&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,2026-08-02T21:37:59.074656,367194678,3249510,útil,290000,3,3,113 m²,123 m²,8 m²,4,,,,La Minga - Amplio Depto 3d/3b Gran Terraza Roberto Del Río,-33.4326402,-70.5992123
https://portalinmobiliario.com/MLC-2068835341-roberto-del-rio-el-vergel-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=3&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,2026-08-02T21:38:04.654625,367194662,3249510,útil,200000,3,3,113 m²,115 m²,,4,,,,Roberto Del Rio - El Vergel,-33.4322773,-70.5994038
https://portalinmobiliario.com/MLC-2094697895-oportunidad-plaza-las-lilas-hernando-de-aguirre-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=46&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,2026-08-02T21:40:10.186207,347180730,3306483,útil,260000,3,3,105 m²,120 m²,15 m²,,,,,Oportunidad - Plaza Las Lilas - Hernando De Aguirre,-33.4266723,-70.598759
https://portalinmobiliario.com/MLC-2111006847-luminoso-3d2b-estacionamiento-y-bodega-vista-despejada-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=19&type=item&tracking_id=7d05b8d5-3270-4657-9767-6d6dffbf1ae0&sid=search,2026-08-03T16:50:53.511553,347180697,3471807,útil,260000,3,2,100 m²,110 m²,10 m²,6,O,,,Luminoso 3d/2b + Estacionamiento Y Bodega | Vista Despejada,-33.4310874,-70.6020485
